pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,807.9064729010003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,813.2110510652409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,809.7982868265065
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,811.5128069327392
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,807.7058763193738
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,809.596513230197
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,813.5384728363013
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,809.7982868265065
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,807.7058763193738
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,813.0447770156193
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,809.596513230197
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,809.2273066233249
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,807.7058763193738
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,813.0447770156193
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,810.9911832310752
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,809.7982868265065
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,808.3685806485976
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,807.6903576154087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,807.9064729010003
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,813.2110510652409
