pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,802.4871270677055
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,805.6880980746545
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,813.1803728021054
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,809.0196207006578
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,807.6983714380574
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,803.5388482497618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,802.2128902592016
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,802.4871270677055
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,804.5761105852995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,808.9105440702131
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,814.0300041208767
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,809.0196207006578
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,803.3824996061988
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,803.9213694223291
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,802.8622728101038
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,803.5388482497618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,813.2003526939791
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,808.9105440702131
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,807.8407980871777
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,804.5761105852995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,802.5381137006768
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,802.8622728101038
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,803.7782011061952
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,811.1149145740584
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,810.135188595129
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,809.0196207006578
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,806.2972141938899
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,802.7012456496143
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,802.5381137006768
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,807.8921183887132
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,812.2457736168266
