load_id,pickup,delivery,pickup_lat,pickup_lon,delivery_lat,delivery_lon,distance,equipment,weight,date,market_index,quote_signal,posted_rate,predicted_rate,base_rate_dq,base_rate_dqm,ton_miles,month,quarter,day_of_year,lane
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-01,0.83596,,,,,,5760.0,12,4,335,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-02,0.92528,,,,,,5760.0,12,4,336,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-03,1.03984,,,,,,5760.0,12,4,337,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-04,0.98758,,,,,,5760.0,12,4,338,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-05,0.95933,,,,,,5760.0,12,4,339,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-06,0.9066,,,,,,5760.0,12,4,340,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-07,0.82633,,,,,,5760.0,12,4,341,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-08,0.83289,,,,,,5760.0,12,4,342,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-09,0.91435,,,,,,5760.0,12,4,343,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-10,0.97155,,,,,,5760.0,12,4,344,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-11,1.06187,,,,,,5760.0,12,4,345,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-12,0.98184,,,,,,5760.0,12,4,346,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-13,0.89271,,,,,,5760.0,12,4,347,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-14,0.82221,,,,,,5760.0,12,4,348,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-15,0.85879,,,,,,5760.0,12,4,349,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-16,0.90707,,,,,,5760.0,12,4,350,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-17,1.03404,,,,,,5760.0,12,4,351,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-18,0.97651,,,,,,5760.0,12,4,352,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-19,0.96196,,,,,,5760.0,12,4,353,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-20,0.91676,,,,,,5760.0,12,4,354,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-21,0.85331,,,,,,5760.0,12,4,355,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-22,0.86442,,,,,,5760.0,12,4,356,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-23,0.91117,,,,,,5760.0,12,4,357,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-24,1.00223,,,,,,5760.0,12,4,358,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-25,0.99567,,,,,,5760.0,12,4,359,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-26,0.98038,,,,,,5760.0,12,4,360,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-27,0.94073,,,,,,5760.0,12,4,361,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-28,0.83687,,,,,,5760.0,12,4,362,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-29,0.84971,,,,,,5760.0,12,4,363,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-30,0.96758,,,,,,5760.0,12,4,364,Lexington_to_Fort Wayne
,Lexington,Fort Wayne,,,,,360.0,Dry Van,32000.0,2025-12-31,1.02257,,,,,,5760.0,12,4,365,Lexington_to_Fort Wayne
